"cell","n_records","y","toc_median","mask","n_sites","y_sd","x_lon","y_lat"
3410635,1,-0.292429823902064,0.5,"shelf",1,NA,-36.5500012395249,-4.74999991944513
3411550,1,-0.537602002101044,0.28,"shelf",1,NA,54.9500018635265,-4.74999991944513
3413075,1,-0.318758762624413,0.47,"deep",1,NA,-152.550005173448,-4.84999991774923
3414253,2,-0.552841968657781,0.27,"deep",1,NA,-34.7500011784813,-4.84999991774923
3414263,2,-0.31695670049,0.472,"deep",1,NA,-33.7500011445682,-4.84999991774923
3414699,1,0.255272505103306,1.79,"deep",1,NA,9.85000033404432,-4.84999991774923
3416803,1,-0.737548910269571,0.173,"deep",1,NA,-139.75000473936,-4.94999991605334
3417900,1,0.303196057420489,2,"deep",1,NA,-30.0500010190896,-4.94999991605334
3418317,2,0.334453751150931,2.15,"shelf",1,NA,11.650000395088,-4.94999991605334
3418318,2,0.361727836017593,2.29,"shelf",1,NA,11.7500003984793,-4.94999991605334
3418981,1,-0.721246399047171,0.18,"deep",1,NA,78.0500026469198,-4.94999991605334
3419857,1,-0.214670164989233,0.6,"deep",1,NA,165.65000561771,-4.94999991605334
3420258,1,-0.638272163982407,0.22,"deep",1,NA,-154.2500052311,-5.04999991435746
3420401,3,-0.792733591999111,0.13,"deep",2,NA,-139.950004746143,-5.04999991435746
3420806,1,0.350248018334163,2.23,"deep",1,NA,-99.4500033726608,-5.04999991435746
3420870,1,0.371067862271736,2.34,"deep",1,NA,-93.0500031556168,-5.04999991435746
3420893,1,0.313867220369153,2.05,"deep",1,NA,-90.7500030776166,-5.04999991435746
3420926,1,0.471291711058939,2.95,"deep",1,NA,-87.4500029657032,-5.04999991435746
3420941,1,0.437750562820388,2.73,"deep",1,NA,-85.9500029148335,-5.04999991435746
3421912,1,0.499687082618404,3.15,"deep",1,NA,11.1500003781314,-5.04999991435746
3421919,4,0.388234361700542,2.435,"shelf",2,NA,11.8500004018706,-5.04999991435746
3422376,1,-0.721246399047171,0.18,"deep",1,NA,57.5500019517006,-5.04999991435746
3422831,9,-0.152734482837024,0.72,"deep",1,NA,103.050003494748,-5.04999991435746
3425480,2,0.0492180226701817,1.11,"deep",1,NA,7.95000026960938,-5.14999991266156
3425501,1,0.428134794028789,2.67,"deep",1,NA,10.050000340827,-5.14999991266156
